Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",43.86,$4.75B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shi
SVA,"Sinovac Biotech, Ltd.",7.03,$499.98M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sva
SINT,"SiNtx Technologies, Inc.",0.215,$4.69M,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/sint
SG,"Sirius International Insurance Group, Ltd.",13.06,$1.5B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/sg
SIRI,Sirius XM Holdings Inc.,6.17,$27.01B,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/siri
SITC,SITE Centers Corp.,11.68,$2.16B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sitc
SITC^A,SITE Centers Corp.,23.64,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sitc^a
SITC^J,SITE Centers Corp.,24.07,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sitc^j
SITC^K,SITE Centers Corp.,23.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sitc^k
SITE,"SiteOne Landscape Supply, Inc.",54.47,$2.22B,2016,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/site
SITO,"SITO Mobile, Ltd.",1.18,$30.02M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/sito
SIX,Six Flags Entertainment Corporation New,57.8,$4.88B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/six
SJW,SJW Group,56.83,$1.56B,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/sjw
SKM,"SK Telecom Co., Ltd.",27.52,$17.82B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/skm
SKX,"Skechers U.S.A., Inc.",23.09,$3.65B,1999,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/skx
SKYS,"Sky Solar Holdings, Ltd.",0.5545,$29.08M,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/skys
SKY,Skyline Champion Corporation,14.99,$850.13M,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/sky
SKYW,"SkyWest, Inc.",44.95,$2.33B,1986,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/skyw
SWKS,"Skyworks Solutions, Inc.",63.63,$11.3B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/swks
SLG,SL Green Realty Corp,79.38,$6.77B,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/slg
SLG^I,SL Green Realty Corp,25.465,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/slg^i
SNBR,Sleep Number Corporation,32.64,$1.08B,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/snbr
SLM,SLM Corporation,8.93,$3.89B,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/slm
SLMBP,SLM Corporation,58.5,$234M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/slmbp
SM,SM Energy Company,16.63,$1.86B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sm
SMSH,Smaaash Entertainment Inc.,2.1399,$10.91M,2017,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/smsh
SMSHW,Smaaash Entertainment Inc.,0.29,n/a,2017,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/smshw
SFS,Smart,5.59,$424.88M,2014,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/sfs
SGH,"SMART Global Holdings, Inc.",29.65,$675.46M,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/sgh
SND,"Smart Sand, Inc.",2.42,$100.68M,2016,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/snd
SMBK,"SmartFinancial, Inc.",17.5,$243.84M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/smbk
SMAR,Smartsheet Inc.,23.62,$2.45B,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/smar
SNN,"Smith & Nephew SNATS, Inc.",36.73,$16.06B,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/snn
AOS,Smith (A.O.) Corporation,44.12,$7.5B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/aos
SMSI,"Smith Micro Software, Inc.",1.88,$53.14M,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/smsi
SMTX,SMTC Corporation,4.92,$113.56M,2000,Technology,Electrical Products,https://www.nasdaq.com/symbol/smtx
SNAP,Snap Inc.,5.95,$7.7B,2017,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/snap
SNA,Snap-On Incorporated,150.77,$8.4B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sna
IPOA,Social Capital Hedosophia Holdings Corp.,10.04,$865.95M,2017,Finance,Business Services,https://www.nasdaq.com/symbol/ipoa
IPOA.U,Social Capital Hedosophia Holdings Corp.,n/a,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/ipoa.u
IPOA.WS,Social Capital Hedosophia Holdings Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ipoa.ws
SRAX,"Social Reality, Inc.",2.2,$22.29M,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/srax
SQM,Sociedad Quimica y Minera S.A.,39.04,$10.28B,1993,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/sqm
SCKT,"Socket Mobile, Inc.",1.6063,$9.45M,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/sckt
SOGO,Sogou Inc.,5.57,$2.21B,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/sogo
SOHU,Sohu.com Limited ,17.69,$688.44M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/sohu
SLRC,Solar Capital Ltd.,19.72,$833.38M,2010,n/a,n/a,https://www.nasdaq.com/symbol/slrc
SUNS,Solar Senior Capital Ltd.,15.79,$253.28M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/suns
SEDG,"SolarEdge Technologies, Inc.",37.25,$1.7B,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/sedg
SOI,"Solaris Oilfield Infrastructure, Inc.",13.14,$619.34M,2017,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/soi
SWI,SolarWinds Corporation,14.23,$4.41B,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/swi
SLNO,"Soleno Therapeutics, Inc.",1.62,$34.73M,2014,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/slno
SLNOW,"Soleno Therapeutics, Inc.",0.1003,n/a,2014,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/slnow
SLGL,Sol-Gel Technologies Ltd.,5.88,$111.43M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/slgl
SLDB,Solid Biosciences Inc.,29.77,$1.05B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/sldb
SNGX,"Soligenix, Inc.",0.965,$17.06M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sngx
SNGXW,"Soligenix, Inc.",0.26,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sngxw
XPL,Solitario Zinc Corp.,0.2618,$15.26M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/xpl
SAH,"Sonic Automotive, Inc.",14.72,$629.29M,1997,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/sah
SON,Sonoco Products Company,52.3,$5.22B,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/son
SNOA,"Sonoma Pharmaceuticals, Inc.",0.7061,$7.88M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/snoa
SNOAW,"Sonoma Pharmaceuticals, Inc.",0.015,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/snoaw
SONO,"Sonos, Inc.",10.57,$1.07B,2018,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/sono
SNE,Sony Corp Ord,49.21,$62.44B,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/sne
SPHS,"Sophiris Bio, Inc.",1.03,$31.01M,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sphs
SORL,"SORL Auto Parts, Inc.",2.45,$47.3M,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/sorl
SRNE,"Sorrento Therapeutics, Inc.",2.58,$315.47M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/srne
BID,Sotheby&#39;s,38.96,$1.91B,1988,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/bid
SOHO,Sotherly Hotels Inc.,6.05,$85.97M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/soho
SOHOB,Sotherly Hotels Inc.,24.7,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sohob
SOHOO,Sotherly Hotels Inc.,22.4,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sohoo
SOHOK,Sotherly Hotels LP,25.4672,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sohok
SFBC,"Sound Financial Bancorp, Inc.",33.9,$86.1M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/sfbc
SOR,"Source Capital, Inc.",32.9,$283.3M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sor
SJI,"South Jersey Industries, Inc.",27.7,$2.37B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sji
SJIU,"South Jersey Industries, Inc.",46.6289,n/a,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sjiu
SSB,South State Corporation,61.89,$2.26B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ssb
SXE,"Southcross Energy Partners, L.P.",0.315,$25.27M,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/sxe
SCE^B,Southern California Edison Company,17.5897,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^b
SCE^C,Southern California Edison Company,18.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^c
SCE^D,Southern California Edison Company,18.652,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^d
SCE^E,Southern California Edison Company,20.9708,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^e
SCE^G,Southern California Edison Company,19.85,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^g
SCE^H,Southern California Edison Company,23.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^h
SCE^J,Southern California Edison Company,20.93,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^j
SCE^K,Southern California Edison Company,21.99,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^k
SCE^L,Southern California Edison Company,19.15,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^l
SO,Southern Company (The),44.71,$46B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/so
SOJA,Southern Company (The),25.91,n/a,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/soja
SOJB,Southern Company (The),22.75,n/a,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/sojb
SOJC,Southern Company (The),22.7,n/a,2017,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/sojc
SCCO,Southern Copper Corporation,31.14,$24.07B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/scco
SFST,"Southern First Bancshares, Inc.",33.47,$249.36M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sfst
SMBC,"Southern Missouri Bancorp, Inc.",34.35,$319.91M,n/a,Finance,Banks,https://www.nasdaq.com/symbol/smbc
SONA,"Southern National Bancorp of Virginia, Inc.",14.11,$339.38M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sona
SBSI,"Southside Bancshares, Inc.",33.13,$1.16B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sbsi
LUV,Southwest Airlines Company,47.86,$26.91B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/luv
SWX,"Southwest Gas Holdings, Inc.",75.4,$3.73B,n/a,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/swx
SGB,Southwest Georgia Financial Corporation,20.82,$53M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sgb
SWN,Southwestern Energy Company,3.9,$2.27B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/swn
SP,SP Plus Corporation,29.9,$679.94M,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/sp
SGRP,"SPAR Group, Inc.",0.581,$12M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/sgrp
SPKE,"Spark Energy, Inc.",7.88,$274.85M,2014,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/spke
SPKEP,"Spark Energy, Inc.",21,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/spkep
LOV,"Spark Networks, Inc.",9.05,$117.54M,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lov
ONCE,"Spark Therapeutics, Inc.",41.24,$1.56B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/once
SPAQ,Spartan Energy Acquisition Corp,9.63,$531.58M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/spaq
SPAQ.U,Spartan Energy Acquisition Corp,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/spaq.u
SPAQ.WS,Spartan Energy Acquisition Corp,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/spaq.ws
SPAR,"Spartan Motors, Inc.",7.72,$271.55M,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/spar
SPTN,SpartanNash Company,18.73,$673.15M,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/sptn
SPA,Sparton Corporation,18.26,$179.58M,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/spa
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,22.38,$120.85M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwfi
SPE,Special Opportunities Fund Inc.,12.28,$104.39M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/spe
SPE^B,Special Opportunities Fund Inc.,25.0245,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/spe^b
SPB           ,"Spectrum Brands Holdings, Inc.",46.94,$2.51B,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/spb
SPPI,"Spectrum Pharmaceuticals, Inc.",9.74,$1.04B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sppi
TRK,"Speedway Motorsports, Inc.",16.06,$655.77M,1995,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/trk
SPRO,"Spero Therapeutics, Inc.",6.75,$122.77M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/spro
ANY,Sphere 3D Corp.,3.47,$6.82M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/any
SPEX,Spherix Incorporated,0.735,$6.28M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/spex
SPI,"SPI Energy Co., Ltd.",0.8766,$6.36M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/spi
SR,Spire Inc.,73.78,$3.74B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sr
SPR,"Spirit Aerosystems Holdings, Inc.",72.49,$7.68B,2006,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/spr
SAVE,"Spirit Airlines, Inc.",56.1,$3.83B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/save
SMTA,Spirit MTA REIT,7.1,$305.31M,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/smta
STXB,"Spirit of Texas Bancshares, Inc.",22.5,$269M,2018,Finance,Major Banks,https://www.nasdaq.com/symbol/stxb
SRC,"Spirit Realty Capital, Inc.",35.75,$3.07B,2013,Consumer Services,Building operators,https://www.nasdaq.com/symbol/src
SRC^A,"Spirit Realty Capital, Inc.",21.61,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/src^a
SPLK,Splunk Inc.,108.04,$15.97B,2012,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/splk
SPOK,"Spok Holdings, Inc.",13.59,$264.41M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/spok
SPWH,"Sportsman&#39;s Warehouse Holdings, Inc.",4.46,$191.51M,2014,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/spwh
SPOT,Spotify Technology S.A.,118.51,$21.31B,2018,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/spot
SRLP,Sprague Resources LP,17.49,$397.62M,2013,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/srlp
SBPH,"Spring Bank Pharmaceuticals, Inc.",10.54,$173.21M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sbph
S,Sprint Corporation,6.21,$25.32B,2013,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/s
FUND,"Sprott Focus Trust, Inc.",5.93,$154.33M,n/a,Consumer Services,Miscellaneous,https://www.nasdaq.com/symbol/fund
SFM,"Sprouts Farmers Market, Inc.",23.84,$3.04B,2013,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/sfm
SPSC,"SPS Commerce, Inc.",84.24,$1.49B,2010,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/spsc
SPXC,SPX Corporation,26.87,$1.17B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/spxc
FLOW,"SPX FLOW, Inc.",30.33,$1.29B,2015,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/flow
SQ,"Square, Inc.",58.18,$24.06B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sq
SRCI,SRC Energy Inc.,5.31,$1.29B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/srci
SSNC,"SS&C Technologies Holdings, Inc.",45.08,$11.3B,2010,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ssnc
SSLJ,SSLJ.com Limited,0.3125,$13.75M,2018,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/sslj
SSRM,SSR Mining Inc.,12.34,$1.48B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ssrm
JOE,St. Joe Company (The),13.47,$817.25M,n/a,Consumer Services,Homebuilding,https://www.nasdaq.com/symbol/joe
STAA,STAAR Surgical Company,29.42,$1.3B,n/a,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/staa
STAF,"Staffing 360 Solutions, Inc.",1.77,$8.88M,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/staf
STAG,"Stag Industrial, Inc.",24.33,$2.65B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/stag
STAG^C,"Stag Industrial, Inc.",25.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stag^c
SSI,"Stage Stores, Inc.",0.725,$20.51M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/ssi
STMP,Stamps.com Inc.,154.69,$2.8B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/stmp
STND,Standard AVB Financial Corp.,30,$144.29M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stnd
SDI,Standard Diversified Inc.,13.2,$225.87M,n/a,Consumer Non-Durables,Tobacco,https://www.nasdaq.com/symbol/sdi
SMP,"Standard Motor Products, Inc.",48.59,$1.09B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/smp
SXI,Standex International Corporation,68.01,$872.49M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sxi
SWJ,"Stanley Black & Decker, Inc.",24.23,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swj
SWK,"Stanley Black & Decker, Inc.",123.15,$18.6B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swk
SWP,"Stanley Black & Decker, Inc.",93.69,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swp
STN,Stantec Inc,22.35,$2.52B,n/a,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/stn
SBLK,Star Bulk Carriers Corp.,10.14,$933.92M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/sblk
SBLKZ,Star Bulk Carriers Corp.,25.3,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/sblkz
SGU,"Star Group, L.P.",9.45,$498.54M,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/sgu
SBUX,Starbucks Corporation,63.57,$78.86B,1992,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/sbux
SRT,"StarTek, Inc.",7.06,$264.25M,1997,Technology,Professional Services,https://www.nasdaq.com/symbol/srt
STWD,"STARWOOD PROPERTY TRUST, INC.",19.99,$5.5B,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/stwd
STFC,State Auto Financial Corporation,34.77,$1.5B,1991,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/stfc
STT,State Street Corporation,64.19,$24.36B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stt
STT^C,State Street Corporation,23.31,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^c
STT^D,State Street Corporation,25.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^d
STT^E,State Street Corporation,25.41,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^e
STT^G,State Street Corporation,24.51,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^g
GASS,"StealthGas, Inc.",2.9,$115.6M,2005,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/gass
STCN,"Steel Connect, Inc.",1.66,$100.62M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/stcn
STLD,"Steel Dynamics, Inc.",31.54,$7.24B,1996,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/stld
SPLP,Steel Partners Holdings LP,13.26,$340.92M,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/splp
SPLP^A,Steel Partners Holdings LP,21.62,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/splp^a
SCS,Steelcase Inc.,15.58,$1.82B,1998,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/scs
SMRT,"Stein Mart, Inc.",1.25,$59.81M,1992,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/smrt
SBOT,"Stellar Biotechnologies, Inc.",1.06,$5.65M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sbot
SCA,Stellus Capital Investment Corporation,25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sca
SCM,Stellus Capital Investment Corporation,13.43,$214.26M,2012,n/a,n/a,https://www.nasdaq.com/symbol/scm
STML,"Stemline Therapeutics, Inc.",10.07,$320.23M,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/stml
SCL,Stepan Company,75.5,$1.7B,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/scl
SRCL,"Stericycle, Inc.",37.55,$3.4B,1996,Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/srcl
STE,STERIS plc,103.91,$8.78B,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ste
STL,Sterling Bancorp,17.1,$3.84B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stl
STL^A,Sterling Bancorp,25.45,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stl^a
SBT,"Sterling Bancorp, Inc.",7.81,$414.03M,2017,Finance,Savings Institutions,https://www.nasdaq.com/symbol/sbt
STRL,Sterling Construction Company Inc,11.84,$320.49M,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/strl
SHOO,"Steven Madden, Ltd.",31,$2.71B,1993,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/shoo
SSFN,Stewardship Financial Corp,8.725,$75.72M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ssfn
STC,Stewart Information Services Corporation,42.01,$997.35M,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/stc
SF,Stifel Financial Corporation,42.06,$3.03B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sf
SF^A,Stifel Financial Corporation,25.03,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sf^a
SFB,Stifel Financial Corporation,21.75,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sfb
SFIX,"Stitch Fix, Inc.",17.98,$1.79B,2017,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/sfix
STM,STMicroelectronics N.V.,12.6,$11.32B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/stm
SYBT,"Stock Yards Bancorp, Inc.",34.1,$775.61M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sybt
EDF,Stone Harbor Emerging Markets Income Fund,11.45,$183.88M,2010,n/a,n/a,https://www.nasdaq.com/symbol/edf
EDI,Stone Harbor Emerging Markets Total Income Fund,10.96,$105.82M,2012,n/a,n/a,https://www.nasdaq.com/symbol/edi
BANX,StoneCastle Financial Corp,20.02,$131.1M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/banx
STNE,StoneCo Ltd.,19.99,$5.54B,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/stne
STON,StoneMor Partners L.P.,2.7,$102.49M,2004,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ston
SRI,"Stoneridge, Inc.",25.63,$730.06M,1997,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/sri
STOR,STORE Capital Corporation,27.83,$5.92B,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/stor
SSKN,"Strata Skin Sciences, Inc.",2.79,$83.54M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/sskn
SSYS,"Stratasys, Ltd.",18.51,$996.02M,1994,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/ssys
STRA,"Strategic Education, Inc.",113.31,$2.46B,1996,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/stra
